Item,ProductType,Variation,VariationID,Price,Currency,ServiceDuration(hh:mm),Transition(min),AvailableForBooking,PresentAtLocations
All other tattoos,APPOINTMENTS_SERVICE,1 hr,RVHGBTDGK5RDQPLB7VI4ORIT,,,,,,LPS2BMRF76GV9
All other tattoos,APPOINTMENTS_SERVICE,All day session,QWWN2THTTBCA7UIYSTOZ5GER,,,,,,LPS2BMRF76GV9
Baby mama,APPOINTMENTS_SERVICE,Regular,A46RQGQ4RGL767YCLSYQALLL,,,00:30,,,LPS2BMRF76GV9
Blac and grey realism,APPOINTMENTS_SERVICE,1 hr,N4GI4FD2WDQNVWBT5PZV2KVH,,,,,,L56CRH7DVTPED
Blac and grey realism,APPOINTMENTS_SERVICE,All day session,D4RVQTWGU67N3PO6FMYFLHSW,,,,,,L56CRH7DVTPED
Cancellation fee,APPOINTMENTS_SERVICE,Regular,QOWUNZYTHANVELBXUNOQUUOZ,,,,,,LPS2BMRF76GV9
Consultation,APPOINTMENTS_SERVICE,Regular,OWFHWSJN3X253RCGR5EKFNLO,,,,,,LPS2BMRF76GV9
Oil painting portrait special***,APPOINTMENTS_SERVICE,Regular,G7XBEWJBG3KMQYYOET3EWQXL,,,,,,LPS2BMRF76GV9
SPECIAL All Day Session,APPOINTMENTS_SERVICE,Regular,3INQ3KGEMY3EP7W2VQDK254Q,,,,,,
SPECIAL Half Day Session,APPOINTMENTS_SERVICE,Regular,DK64ACJ5OJYFI6O2NTBFAR5A,,,,,,LPS2BMRF76GV9
SPECIAL Portraits,APPOINTMENTS_SERVICE,Regular,SJW4CGU4X576ZKEGGA6TRVL6,,,,,,
Touch-up,APPOINTMENTS_SERVICE,Regular,3XRDO4YPUW3TGNTK46TNYYY6,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,100,HZ3QJIY4RF4XPHIT7XTKMUEO,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,1000,M6CI4B6XUFXSJT462IQDOMI7,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,200,PQHIILTROR5Z4N2MLGYFURB6,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,500,VQPDQITIZ2RB6S7W2PNGYUYJ,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,5000,CF4T3RUNYU2DZZVJJOID2424,,,,,,LPS2BMRF76GV9
Help this startup raise capital,DONATION,Custom amount,TOIDP7T4XIEKPSPEHAHBQXSI,,,,,,LPS2BMRF76GV9
Tattoo,REGULAR,Regular,FF5NRVYJZC7C5GRL3IRTTAUK,,,,,,L56CRH7DVTPED
Tattoo 1 hr,LEGACY_SQUARE_ONLINE_SERVICE,Regular,IZYJPULXFVERPDIXSGTPYOMR,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,2XL,FVPMCEWF5R2Q7N2GH3ZTPTRY,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,3XL,U452HVCV4UIJU3C7646ILQHM,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,L,NTNRXFI2NKVUC2SRKBJSTU7J,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,M,RSQYIQVBZLM6OWJ76IR7F5KX,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,S,LBM35RESB6WIF4KIZLSMI4KU,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
Wohu.tattoo Sweatshirt,REGULAR,XL,PRTCUIZQ6KI4GPJD376KQ5BD,,,,,,"L56CRH7DVTPED, LPS2BMRF76GV9"
